region,category,total_units,total_revenue,orders,avg_revenue_per_order,revenue_share_pct
Northeast,hardware,7,1422.0,4,355.5,18.19
Midwest,hardware,9,1071.0,4,267.75,13.7
West,software,29,766.0,4,191.5,9.8
South,hardware,7,751.0,4,187.75,9.61
Northeast,software,23,704.0,4,176.0,9.01
West,hardware,12,703.0,4,175.75,8.99
Midwest,software,19,623.0,4,155.75,7.97
South,software,17,538.0,4,134.5,6.88
Northeast,office,35,323.5,4,80.88,4.14
West,office,33,316.0,4,79.0,4.04
Midwest,office,26,311.5,4,77.88,3.99
South,office,25,287.0,4,71.75,3.67
